video_name,video_id,frame_number,timestamp_sec,track_id,frame_width,frame_height,video_fps,center_x,center_y,normalized_x,normalized_y,bbox_width,bbox_height,bbox_area_ratio,detection_confidence,motion_valid,movement_distance_px,movement_distance_norm,speed_px_s,speed_norm_s,acceleration_px_s2,acceleration_norm_s2,direction_angle_deg,direction_change_deg,direction_sin,direction_cos,consecutive_frames
download.mp4,VIDEO_001,1,0.0,1,1920,1080,30.0,1903.08,989.42,0.991187,0.916128,32.91,175.49,0.00278508,0.418741,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,1,0.0,2,1920,1080,30.0,1711.49,1028.91,0.8914,0.952695,72.61,102.18,0.00357818,0.342024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,1,0.0,3,1920,1080,30.0,1677.51,894.2,0.873704,0.82796,49.91,194.87,0.00469042,0.327384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,1,0.0,4,1920,1080,30.0,1815.13,911.4,0.94538,0.843887,46.61,162.11,0.00364371,0.274003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,1,0.0,5,1920,1080,30.0,1452.11,901.37,0.756308,0.834598,56.77,108.09,0.00295958,0.273115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,2,0.0333,1,1920,1080,30.0,1902.53,988.27,0.990899,0.91506,32.8,174.74,0.00276381,0.415349,1,1.2779,0.0005801,38.3372,0.01740299,0.0,0.0,244.4263,0.0,-0.90203074,-0.43167181,2
download.mp4,VIDEO_001,2,0.0333,2,1920,1080,30.0,1711.44,1028.93,0.891377,0.952714,72.59,102.14,0.00357539,0.34374,1,0.05,2.269e-05,1.4993,0.00068062,0.0,0.0,155.3128,0.0,0.41766368,-0.9086017,2
download.mp4,VIDEO_001,2,0.0333,3,1920,1080,30.0,1677.5,894.36,0.873697,0.828109,49.83,194.52,0.00467417,0.324608,1,0.1615,7.332e-05,4.8455,0.00219961,0.0,0.0,95.1817,0.0,0.99591332,-0.09031428,2
download.mp4,VIDEO_001,2,0.0333,4,1920,1080,30.0,1815.16,911.3,0.945398,0.8438,46.51,161.73,0.0036272,0.273758,1,0.1002,4.549e-05,3.0066,0.00136481,0.0,0.0,290.3498,0.0,-0.93758704,0.3477507,2
download.mp4,VIDEO_001,2,0.0333,5,1920,1080,30.0,1452.04,901.46,0.75627,0.834687,56.87,108.29,0.00296984,0.264266,1,0.1211,5.496e-05,3.6322,0.0016488,0.0,0.0,127.7711,0.0,0.79046387,-0.61250867,2
download.mp4,VIDEO_001,3,0.0667,1,1920,1080,30.0,1896.26,987.21,0.987635,0.914082,34.87,183.51,0.00308584,0.49546,1,6.3557,0.00288516,190.6721,0.08655475,4570.0478,2.07455307,189.5673,54.859,-0.1662067,-0.98609094,3
download.mp4,VIDEO_001,3,0.0667,2,1920,1080,30.0,1709.4,1028.9,0.890311,0.952683,72.76,102.21,0.00358621,0.268502,1,2.047,0.00092924,61.4109,0.02787722,1797.3474,0.81589792,180.9439,25.6311,-0.01647358,-0.9998643,3
download.mp4,VIDEO_001,3,0.0667,4,1920,1080,30.0,1813.93,908.06,0.944755,0.840797,46.1,159.77,0.00355211,0.387413,1,3.4696,0.00157503,104.0892,0.04725085,3032.4807,1.37658123,249.1683,41.1815,-0.93462923,-0.35562369,3
download.mp4,VIDEO_001,3,0.0667,5,1920,1080,30.0,1449.05,899.51,0.754714,0.83288,55.73,105.79,0.00284304,0.184187,1,3.568,0.0016197,107.0414,0.04859099,3102.278,1.40826543,213.145,85.3739,-0.54676027,-0.8372892,3
download.mp4,VIDEO_001,4,0.1,1,1920,1080,30.0,1890.65,980.51,0.984714,0.907883,36.55,187.56,0.00330566,0.52228,1,8.7339,0.00396472,262.0171,0.11894152,2140.3508,0.97160281,230.0473,40.48,-0.76657478,-0.64215505,4
