video_name,sequence_id,scene_id,scene_name,label,label_value,start_frame,end_frame,frame_count,transition_onset_frame,label_source,ground_truth_status,official_umn_frame_claim,training_allowed
Crowd-Activity-All.avi,SEQ_01,SCENE_01,Lawn,NORMAL,0,1,525,525,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_01,SCENE_01,Lawn,ABNORMAL,1,526,625,100,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_02,SCENE_01,Lawn,NORMAL,0,626,1330,705,1331,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_02,SCENE_01,Lawn,ABNORMAL,1,1331,1453,123,1331,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_03,SCENE_02,Indoor,NORMAL,0,1454,1806,353,1807,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_03,SCENE_02,Indoor,ABNORMAL,1,1807,2002,196,1807,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_04,SCENE_02,Indoor,NORMAL,0,2003,2605,603,2606,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_04,SCENE_02,Indoor,ABNORMAL,1,2606,2687,82,2606,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_05,SCENE_02,Indoor,NORMAL,0,2688,3219,532,3220,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_05,SCENE_02,Indoor,ABNORMAL,1,3220,3455,236,3220,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_06,SCENE_02,Indoor,NORMAL,0,3456,3938,483,3939,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_06,SCENE_02,Indoor,ABNORMAL,1,3939,4034,96,3939,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_07,SCENE_02,Indoor,NORMAL,0,4035,4807,773,4808,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_07,SCENE_02,Indoor,ABNORMAL,1,4808,4929,122,4808,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_08,SCENE_02,Indoor,NORMAL,0,4930,5422,493,5423,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_08,SCENE_02,Indoor,ABNORMAL,1,5423,5596,174,5423,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_09,SCENE_03,Outdoor_Plaza,NORMAL,0,5597,6195,599,6196,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_09,SCENE_03,Outdoor_Plaza,ABNORMAL,1,6196,6254,59,6196,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
Crowd-Activity-All.avi,SEQ_10,SCENE_03,Outdoor_Plaza,NORMAL,0,6255,6883,629,6884,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,RECONSTRUCTED_FROM_EMBEDDED_ANNOTATION,NO,NO
