sequence_id,zone_id,window_id,actual_label,predicted_label,abnormal_probability,top_abnormal_drivers,top_normal_drivers,xai_explanation
SEQ_08,ZONE_A,0,NORMAL,NORMAL,0.493672,avg_detection_confidence (+1.664); direction_consistency (+1.077); valid_motion_rows (+0.829),avg_bbox_area_ratio (-0.449); zone_presence_ratio (-0.346); unique_person_count (-0.306),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.449); zone_presence_ratio (-0.346); unique_person_count (-0.306)
SEQ_08,ZONE_B,0,NORMAL,NORMAL,0.00103,avg_bbox_area_ratio (+0.908); max_person_count_per_frame (+0.548); avg_detection_confidence (+0.406),valid_motion_rows (-2.286); avg_person_count_per_frame (-1.646); direction_consistency (-0.591),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-2.286); avg_person_count_per_frame (-1.646); direction_consistency (-0.591)
SEQ_08,ZONE_A,1,NORMAL,NORMAL,0.023567,unique_person_count (+0.305); avg_bbox_area_ratio (+0.198); avg_person_count_per_frame (+0.130),avg_detection_confidence (-0.531); speed_std_norm_s (-0.485); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_detection_confidence (-0.531); speed_std_norm_s (-0.485); zone_presence_ratio (-0.346)
SEQ_08,ZONE_B,1,NORMAL,NORMAL,0.014772,avg_detection_confidence (+0.995); avg_bbox_area_ratio (+0.965); max_person_count_per_frame (+0.320),valid_motion_rows (-0.998); direction_consistency (-0.910); avg_person_count_per_frame (-0.659),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-0.998); direction_consistency (-0.910); avg_person_count_per_frame (-0.659)
SEQ_08,ZONE_A,2,NORMAL,NORMAL,0.006911,unique_person_count (+0.305); avg_detection_confidence (+0.174); max_person_count_per_frame (+0.092),avg_bbox_area_ratio (-0.952); direction_consistency (-0.645); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.952); direction_consistency (-0.645); zone_presence_ratio (-0.346)
SEQ_08,ZONE_B,2,NORMAL,NORMAL,0.037098,avg_detection_confidence (+1.716); avg_bbox_area_ratio (+0.812); max_bbox_area_ratio (+0.345),speed_std_norm_s (-1.133); acceleration_std_norm_s2 (-0.405); valid_motion_rows (-0.347),Prediction is pushed toward NORMAL mainly by: speed_std_norm_s (-1.133); acceleration_std_norm_s2 (-0.405); valid_motion_rows (-0.347)
SEQ_08,ZONE_A,3,NORMAL,NORMAL,0.15173,avg_detection_confidence (+0.837); valid_motion_rows (+0.352); avg_person_count_per_frame (+0.328),zone_presence_ratio (-0.346); avg_bbox_area_ratio (-0.167); movement_activity_ratio (-0.162),Prediction is pushed toward NORMAL mainly by: zone_presence_ratio (-0.346); avg_bbox_area_ratio (-0.167); movement_activity_ratio (-0.162)
SEQ_08,ZONE_B,3,NORMAL,NORMAL,0.041089,avg_detection_confidence (+1.463); unique_person_count (+0.218); max_person_count_per_frame (+0.206),valid_motion_rows (-0.998); avg_person_count_per_frame (-0.659); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-0.998); avg_person_count_per_frame (-0.659); zone_presence_ratio (-0.346)
SEQ_08,ZONE_A,4,NORMAL,NORMAL,0.085912,avg_detection_confidence (+1.132); valid_motion_rows (+0.551); avg_bbox_area_ratio (+0.513),speed_std_norm_s (-0.819); zone_presence_ratio (-0.346); acceleration_std_norm_s2 (-0.342),Prediction is pushed toward NORMAL mainly by: speed_std_norm_s (-0.819); zone_presence_ratio (-0.346); acceleration_std_norm_s2 (-0.342)
SEQ_08,ZONE_B,4,NORMAL,NORMAL,0.002367,avg_detection_confidence (+0.715); avg_bbox_area_ratio (+0.595); max_person_count_per_frame (+0.434),valid_motion_rows (-2.039); avg_person_count_per_frame (-1.443); direction_consistency (-0.552),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-2.039); avg_person_count_per_frame (-1.443); direction_consistency (-0.552)
