sequence_id,scene_id,scene_name,zone_id,current_window_id,future_window_id,current_start_frame,current_end_frame,future_start_frame,future_end_frame,forecast_horizon_sec,current_behavior_label,current_behavior_value,future_behavior_label,future_behavior_value,training_split,label_source,official_umn_ground_truth_claim,zone_presence_ratio,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,avg_bbox_area_ratio,max_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_distance_norm,avg_speed_norm_s,max_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,direction_consistency,movement_activity_ratio,transition_type
SEQ_01,SCENE_01,Lawn,ZONE_A,0,1,1,60,61,120,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,2,1.2833333333333334,2,0.0075688653246753,0.00880177,0.3374391948051948,75,0.0006354437662337,0.0190633149350649,0.05556052,0.0128645092212579,0.0275343966233766,0.3859844941469927,42.43885194805195,0.4614889733895826,0.974025974025974,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_A,1,2,61,120,121,180,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,3,1.4333333333333331,3,0.0082966836046511,0.01284659,0.3196747441860466,84,0.0013331606976744,0.0399948275581395,0.13258082,0.0313317420625979,-0.0078060072093023,0.7591603691352203,45.145461627906975,0.266331702410205,0.9767441860465116,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_A,2,3,121,180,181,240,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,4,3.183333333333333,4,0.0087827603141361,0.01314244,0.3947606282722513,190,0.0012538844502617,0.037616527486911,0.15437773,0.0260533417084905,-0.0103803566492146,0.6662775210597731,37.41598534031414,0.5846927827587798,0.9947643979057592,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_A,3,4,181,240,241,300,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,5,3.783333333333333,5,0.0094978346696035,0.01675942,0.4404673039647577,226,0.0006797937444933,0.0203938015418502,0.06697398,0.0123430875047465,-0.0058037976211453,0.3991525666024387,41.99786784140969,0.377321653710277,0.9955947136563876,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_A,4,5,241,300,301,360,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,4,3.716666666666667,4,0.0102275958295964,0.01637538,0.4473128565022423,223,0.0008889568161434,0.0266687081165919,0.12094087,0.0199497622877088,-0.0037592511210762,0.543995530815767,43.13176591928251,0.4303729559300505,1.0,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_A,5,6,301,360,361,420,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,5,3.583333333333333,4,0.0103478420465116,0.02240039,0.4320244604651162,214,0.0012464301395348,0.0373929107906976,0.28602358,0.0395028607717384,0.0063414383255813,1.027701282855443,40.42724325581395,0.3638627202514694,0.9953488372093025,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_A,6,7,361,420,421,480,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,5,3.6,4,0.0101925156018518,0.01296045,0.4920638148148148,214,0.0007644094444444,0.0229322891203703,0.07525887,0.0132658569181799,-2.784046296296289e-05,0.4322277693835955,45.67169907407407,0.6029961008344591,0.9907407407407408,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_B,0,1,1,60,61,120,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,5,4.066666666666666,5,0.0113630253688524,0.01695243,0.4326362704918033,239,0.0013001709836065,0.0390051227868852,0.16270029,0.0326171593348489,-0.0063987125819672,1.013712383716486,40.82858237704918,0.1554888929643073,0.9795081967213116,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_B,1,2,61,120,121,180,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,9,5.066666666666666,7,0.0104157504276315,0.01629004,0.4539197401315789,300,0.0013460238815789,0.0403807177960526,0.1890723,0.0293746045121749,0.0094280147039473,0.8216911560052799,39.48829671052631,0.2138029848529733,0.986842105263158,NORMAL_TO_NORMAL
SEQ_01,SCENE_01,Lawn,ZONE_B,2,3,121,180,181,240,2.0,NORMAL,0,NORMAL,0,TRAIN,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,NO,1.0,7,3.7,5,0.0090983106756756,0.01339997,0.3865601351351351,222,0.00087527,0.0262581022522522,0.10649176,0.0188842358854806,-0.0060379797747747,0.4463185221620261,40.00448243243243,0.1110595165227195,1.0,NORMAL_TO_NORMAL
