scene_id,boundary_rank,frame,timestamp_sec,before_person_count,after_person_count,person_count_change,speed_change,acceleration_change,direction_change,movement_change,reset_score,status,training_allowed
SCENE_01,1,630,20.9667,0.997,8.5697,7.5727,0.01735881,0.03090328,25.4204,0.00057863,2.783849,AUTOMATIC_CANDIDATE,NO
SCENE_CHANGE,0,1454,48.4333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VISUALLY_CONFIRMED_SCENE_CHANGE,NO
SCENE_02,1,2008,66.9,2.0424,9.5394,7.497,0.0073245,0.09630149,22.4022,0.00024415,2.353669,AUTOMATIC_CANDIDATE,NO
SCENE_02,2,2663,88.7333,4.6485,1.6515,-2.997,0.07477149,0.61747817,4.0365,0.00249238,2.520403,AUTOMATIC_CANDIDATE,NO
SCENE_02,3,3458,115.2333,0.3909,6.8091,6.4182,0.02273476,0.36480403,52.0365,0.00075783,3.007482,AUTOMATIC_CANDIDATE,NO
SCENE_02,4,3993,133.0667,3.9212,0.2879,-3.6333,0.10451692,0.84280936,13.0046,0.0034839,3.757251,AUTOMATIC_CANDIDATE,NO
SCENE_02,5,4867,162.2,6.0182,1.3788,-4.6394,0.04925211,0.72738071,5.731,0.00164174,2.596371,AUTOMATIC_CANDIDATE,NO
SCENE_CHANGE,0,5597,186.5333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VISUALLY_CONFIRMED_SCENE_CHANGE,NO
SCENE_03,1,6224,207.4333,4.0152,0.5,-3.5152,0.17898915,1.85292129,17.1218,0.00596631,4.017851,AUTOMATIC_CANDIDATE,NO
SCENE_03,2,6872,229.0333,0.2,3.0242,2.8242,0.17162588,1.46296444,10.0337,0.00572086,3.598457,AUTOMATIC_CANDIDATE,NO
