sequence_id,scene_name,sequence_start_frame,sequence_end_frame,first_stable_red_text_frame,timestamp_sec,mean_red_pixels_at_detection,scan_status,interpretation,official_ground_truth_claim,training_allowed
SEQ_01,Lawn,1,625,526,17.5,491,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_02,Lawn,626,1453,1331,44.3333,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_03,Indoor,1454,2002,1807,60.2,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_04,Indoor,2003,2687,2606,86.8333,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_05,Indoor,2688,3455,3220,107.3,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_06,Indoor,3456,4034,3939,131.2667,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_07,Indoor,4035,4929,4808,160.2333,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_08,Indoor,4930,5596,5423,180.7333,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_09,Outdoor_Plaza,5597,6254,6196,206.5,465,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_10,Outdoor_Plaza,6255,6931,6884,229.4333,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
SEQ_11,Outdoor_Plaza,6932,7739,7701,256.6667,461,STABLE_RED_TEXT_CANDIDATE,EMBEDDED_TEXT_CANDIDATE_ONLY,NO,NO
