approximate_frame,local_rank,previous_frame,cut_frame,timestamp_sec,pixel_difference,histogram_difference,combined_score,distance_from_approx,status,training_allowed
630,1,625,626,20.8333,0.049217,0.186823,0.097379,4,LOCAL_CUT_CANDIDATE,NO
630,2,525,526,17.5,0.029757,0.003641,0.020616,104,LOCAL_CUT_CANDIDATE,NO
630,3,516,517,17.2,0.022461,0.00212,0.015342,113,LOCAL_CUT_CANDIDATE,NO
630,4,536,537,17.8667,0.02225,0.001435,0.014965,93,LOCAL_CUT_CANDIDATE,NO
630,5,531,532,17.7,0.021241,0.000351,0.01393,98,LOCAL_CUT_CANDIDATE,NO
2008,1,2002,2003,66.7333,0.045522,0.09199,0.061786,5,LOCAL_CUT_CANDIDATE,NO
2008,2,1986,1987,66.2,0.017945,0.023647,0.019941,21,LOCAL_CUT_CANDIDATE,NO
2008,3,2100,2101,70.0,0.006314,0.003597,0.005363,93,LOCAL_CUT_CANDIDATE,NO
2008,4,1929,1930,64.3,0.004683,0.00369,0.004336,78,LOCAL_CUT_CANDIDATE,NO
2008,5,1959,1960,65.3,0.004356,0.004136,0.004279,48,LOCAL_CUT_CANDIDATE,NO
2663,1,2687,2688,89.5667,0.025007,0.058749,0.036816,25,LOCAL_CUT_CANDIDATE,NO
2663,2,2605,2606,86.8333,0.025292,0.028729,0.026495,57,LOCAL_CUT_CANDIDATE,NO
2663,3,2612,2613,87.0667,0.008486,0.006393,0.007754,50,LOCAL_CUT_CANDIDATE,NO
2663,4,2594,2595,86.4667,0.007918,0.005779,0.007169,68,LOCAL_CUT_CANDIDATE,NO
2663,5,2600,2601,86.6667,0.009001,0.003063,0.006923,62,LOCAL_CUT_CANDIDATE,NO
3458,1,3455,3456,115.1667,0.031988,0.071544,0.045832,2,LOCAL_CUT_CANDIDATE,NO
3458,2,3429,3430,114.3,0.01932,0.024326,0.021072,28,LOCAL_CUT_CANDIDATE,NO
3458,3,3384,3385,112.8,0.006663,0.005185,0.006146,73,LOCAL_CUT_CANDIDATE,NO
3458,4,3592,3593,119.7333,0.006065,0.003623,0.00521,135,LOCAL_CUT_CANDIDATE,NO
3458,5,3553,3554,118.4333,0.006036,0.003499,0.005148,96,LOCAL_CUT_CANDIDATE,NO
3993,1,4034,4035,134.4667,0.025341,0.080221,0.044549,42,LOCAL_CUT_CANDIDATE,NO
3993,2,3938,3939,131.2667,0.023554,0.038957,0.028945,54,LOCAL_CUT_CANDIDATE,NO
3993,3,4018,4019,133.9333,0.019482,0.031009,0.023517,26,LOCAL_CUT_CANDIDATE,NO
3993,4,3960,3961,132.0,0.007267,0.004993,0.006471,32,LOCAL_CUT_CANDIDATE,NO
3993,5,3855,3856,128.5,0.005163,0.007368,0.005935,137,LOCAL_CUT_CANDIDATE,NO
4867,1,4929,4930,164.3,0.071904,0.27243,0.142088,63,LOCAL_CUT_CANDIDATE,NO
4867,2,4807,4808,160.2333,0.026516,0.02538,0.026118,59,LOCAL_CUT_CANDIDATE,NO
4867,3,4799,4800,159.9667,0.009374,0.005947,0.008174,67,LOCAL_CUT_CANDIDATE,NO
4867,4,4792,4793,159.7333,0.0105,0.003391,0.008012,74,LOCAL_CUT_CANDIDATE,NO
4867,5,4814,4815,160.4667,0.009815,0.004241,0.007864,52,LOCAL_CUT_CANDIDATE,NO
6224,1,6254,6255,208.4667,0.05503,0.213827,0.110609,31,LOCAL_CUT_CANDIDATE,NO
6224,2,6216,6217,207.2,0.01918,0.112508,0.051845,7,LOCAL_CUT_CANDIDATE,NO
6224,3,6329,6330,210.9667,0.02082,0.10343,0.049734,106,LOCAL_CUT_CANDIDATE,NO
6224,4,6283,6284,209.4333,0.015397,0.078168,0.037367,60,LOCAL_CUT_CANDIDATE,NO
6224,5,6195,6196,206.5,0.02772,0.00328,0.019166,28,LOCAL_CUT_CANDIDATE,NO
6872,1,6931,6932,231.0333,0.06777,0.10274,0.080009,60,LOCAL_CUT_CANDIDATE,NO
6872,2,6851,6852,228.3667,0.038906,0.153062,0.078861,20,LOCAL_CUT_CANDIDATE,NO
6872,3,6858,6859,228.6,0.030498,0.09098,0.051667,13,LOCAL_CUT_CANDIDATE,NO
6872,4,6871,6872,229.0333,0.026117,0.062653,0.038904,0,LOCAL_CUT_CANDIDATE,NO
6872,5,6767,6768,225.5667,0.014398,0.042283,0.024158,104,LOCAL_CUT_CANDIDATE,NO
