frame_number,timestamp_sec,person_count,avg_speed_norm_s,max_speed_norm_s,avg_acceleration_norm_s2,avg_direction_change_deg,avg_movement_norm,motion_ratio,activity_score,transition_score
7600,253.3,12,0.04980743,0.12366684,1.09997592,31.6239,0.00166025,1.0,-0.150335,0.0
7601,253.3333,12,0.05679229,0.1228827,1.04516607,35.0137,0.00189308,1.0,-0.231877,-0.081542
7602,253.3667,12,0.06592966,0.25611791,1.29080796,46.1213,0.00219765,1.0,-0.327587,-0.095711
7603,253.4,12,0.05546794,0.11647971,0.71745778,33.1191,0.00184893,1.0,-0.376889,-0.049302
7604,253.4333,12,0.04534498,0.0958827,0.6673213,26.6382,0.0015115,1.0,-0.367611,0.009278
7605,253.4667,12,0.05303934,0.08474705,0.58941041,30.3999,0.00176798,1.0,-0.492117,-0.124506
7606,253.5,12,0.05855993,0.16690773,0.80500908,39.439,0.001952,1.0,-0.506307,-0.014191
7607,253.5333,12,0.04712622,0.15924073,0.89731171,36.6739,0.00157087,1.0,-0.476899,0.029408
7608,253.5667,12,0.05148389,0.10099831,0.83642391,28.635,0.00171613,1.0,-0.473125,0.003774
7609,253.6,13,0.0492658,0.10164361,0.61779959,37.0052,0.00164219,0.923077,-0.482406,-0.009281
7610,253.6333,13,0.04911052,0.11079526,0.44803554,36.971,0.00163702,1.0,-0.563765,-0.081359
7611,253.6667,14,0.0484127,0.15105066,0.72301378,50.2533,0.00161376,0.928571,-0.569243,-0.005478
7612,253.7,14,0.04512656,0.09225674,0.36657279,30.9699,0.00150422,1.0,-0.528671,0.040572
7613,253.7333,14,0.0477894,0.13179228,0.56377194,34.7865,0.00159298,1.0,-0.464921,0.063751
7614,253.7667,14,0.05116085,0.12659043,0.626465,49.3725,0.00170536,1.0,-0.401445,0.063476
7615,253.8,14,0.05250894,0.11027021,0.63437072,55.8129,0.0017503,1.0,-0.304702,0.096743
7616,253.8333,14,0.06521495,0.31056804,0.9837628,29.5234,0.00217383,1.0,-0.260268,0.044435
7617,253.8667,14,0.0429729,0.09313595,1.1687342,47.804,0.00143243,1.0,-0.210479,0.049789
7618,253.9,13,0.05309789,0.16442555,0.72111916,39.1861,0.00176993,1.0,-0.16749,0.042989
7619,253.9333,13,0.05933512,0.11552323,1.02388891,51.4511,0.00197784,1.0,-0.095821,0.071669
7620,253.9667,13,0.06914289,0.14215915,1.16753364,35.4867,0.00230476,1.0,0.096673,0.192493
7621,254.0,13,0.08050167,0.28416343,1.25821457,41.3192,0.00268339,1.0,0.07255,-0.024123
7622,254.0333,13,0.07146936,0.38445065,1.84756509,39.2225,0.00238231,1.0,-0.013662,-0.086212
7623,254.0667,12,0.06213623,0.1085384,0.52601614,35.0473,0.00207121,1.0,-0.13174,-0.118078
7624,254.1,12,0.05608643,0.11417232,0.64668853,29.4503,0.00186955,1.0,-0.298104,-0.166365
7625,254.1333,12,0.04805887,0.1051944,0.43692792,34.1167,0.00160196,1.0,-0.449437,-0.151333
7626,254.1667,12,0.06134688,0.13888055,0.83015375,21.8928,0.0020449,1.0,-0.459155,-0.009718
7627,254.2,12,0.07155596,0.14803538,0.78507402,44.4302,0.0023852,1.0,-0.362042,0.097113
7628,254.2333,12,0.05519441,0.10716369,0.82280708,26.9511,0.00183981,1.0,-0.271623,0.090419
7629,254.2667,11,0.06499377,0.21141472,0.73113703,46.9837,0.00216646,1.0,-0.251436,0.020187
7630,254.3,11,0.06192535,0.15223557,0.69119781,45.3942,0.00206418,1.0,-0.307941,-0.056505
7631,254.3333,12,0.05950029,0.17526442,0.67956383,32.6273,0.00198334,0.916667,-0.329003,-0.021063
7632,254.3667,11,0.06053567,0.10748336,0.85467746,33.1709,0.00201786,1.0,-0.446148,-0.117145
7633,254.4,12,0.05381587,0.10320767,0.47759206,31.6851,0.00179386,0.916667,-0.475414,-0.029265
7634,254.4333,12,0.04753747,0.09792944,0.59159228,33.0092,0.00158458,1.0,-0.505286,-0.029872
7635,254.4667,12,0.06100953,0.0975742,0.83126584,36.3344,0.00203365,1.0,-0.581314,-0.076028
7636,254.5,12,0.06236468,0.15256706,0.61582779,22.1459,0.00207882,1.0,-0.5911,-0.009786
7637,254.5333,12,0.04419265,0.12098455,0.57109234,22.6856,0.00147309,1.0,-0.444751,0.146349
7638,254.5667,11,0.04532823,0.08824793,0.60567493,33.0764,0.00151094,1.0,-0.403633,0.041118
7639,254.6,11,0.05917847,0.29070054,0.95908383,45.6496,0.00197262,1.0,-0.417871,-0.014238
7640,254.6333,11,0.03834606,0.09312687,1.08507524,68.0748,0.0012782,1.0,-0.257174,0.160697
7641,254.6667,11,0.04295112,0.0794054,0.6708449,43.2973,0.0014317,1.0,0.049559,0.306732
7642,254.7,11,0.05891764,0.23166219,0.757487,57.5868,0.00196392,1.0,0.084515,0.034956
7643,254.7333,11,0.09212476,0.36082555,1.73478342,45.1301,0.00307083,1.0,0.063793,-0.020722
7644,254.7667,11,0.0863355,0.19262376,1.34360934,36.4527,0.00287785,1.0,0.137525,0.073732
7645,254.8,10,0.07134081,0.12925656,0.99049862,25.2151,0.00237803,1.0,0.018043,-0.119481
7646,254.8333,11,0.07726642,0.15495306,0.78134473,28.3986,0.00257555,0.909091,-0.269287,-0.28733
7647,254.8667,10,0.05820366,0.14608672,0.50206293,26.5184,0.00194012,1.0,-0.305055,-0.035769
7648,254.9,10,0.05802891,0.11185392,0.52683122,28.9341,0.0019343,1.0,-0.260617,0.044439
7649,254.9333,8,0.06580295,0.15358031,1.04744714,56.3818,0.00219343,1.0,-0.320837,-0.06022
7650,254.9667,8,0.06169761,0.13373537,0.6032494,67.4961,0.00205659,1.0,-0.060042,0.260795
7651,255.0,7,0.05180837,0.11743679,0.56388169,39.0148,0.00172695,1.0,0.068992,0.129034
7652,255.0333,9,0.10409645,0.24088784,1.65410588,44.6456,0.00346988,0.777778,0.144333,0.075341
7653,255.0667,7,0.09614441,0.16143034,1.01033203,25.871,0.00320481,1.0,0.196983,0.052649
7654,255.1,7,0.10122903,0.18062592,0.8072102,60.9041,0.0033743,1.0,0.280509,0.083526
7655,255.1333,6,0.0928281,0.21111053,1.26327298,26.3334,0.00309427,1.0,0.192246,-0.088262
7656,255.1667,5,0.09306215,0.2161871,0.39280669,28.4343,0.00310207,0.8,0.137648,-0.054598
7657,255.2,5,0.11770217,0.16514966,1.21664072,18.9361,0.00392341,0.8,0.080576,-0.057072
7658,255.2333,8,0.09595389,0.15103924,0.59908522,17.7208,0.00319846,0.625,0.206493,0.125916
7659,255.2667,8,0.1103666,0.22345983,1.2166598,5.5441,0.00367889,0.875,0.959406,0.752913
7660,255.3,8,0.13892244,0.24924482,1.30490268,31.6964,0.00463075,1.0,1.251246,0.29184
7661,255.3333,8,0.24525523,0.76086742,3.33220221,35.0735,0.00817518,0.875,1.431005,0.179759
7662,255.3667,8,0.18881195,0.40590987,2.14490352,13.0104,0.00629373,0.875,1.44761,0.016605
7663,255.4,9,0.1417136,0.36262134,1.0857753,5.736,0.00472379,0.777778,1.361361,-0.08625
7664,255.4333,10,0.11505644,0.23642658,1.07692835,11.5554,0.00383522,0.9,0.650078,-0.711282
7665,255.4667,10,0.11711277,0.25363384,1.25089311,15.0334,0.00390376,1.0,0.469335,-0.180744
7666,255.5,8,0.11376455,0.19533408,0.92794879,11.4543,0.00379215,0.875,0.564122,0.094787
7667,255.5333,11,0.14314211,0.37137618,1.30335958,10.5422,0.0047714,0.727273,0.901479,0.337357
7668,255.5667,9,0.16588654,0.45790392,0.92165383,16.793,0.00552955,1.0,1.274774,0.373295
7669,255.6,9,0.18867293,0.34439773,2.54487168,24.3927,0.0062891,1.0,1.564272,0.289499
7670,255.6333,8,0.21403596,0.5621789,2.02770484,16.2825,0.00713453,1.0,1.798582,0.234309
