sequence_id,scene_id,scene_name,sequence_start_frame,sequence_end_frame,candidate_rank,candidate_start_frame,candidate_end_frame,timestamp_sec,person_count,avg_speed_norm_s,max_speed_norm_s,avg_acceleration_norm_s2,avg_direction_change_deg,avg_movement_norm,motion_ratio,previous_activity_score,activity_score,transition_score,ground_truth_status,training_allowed
SEQ_01,SCENE_01,Lawn,1,625,1,481,510,16.0,19,0.087374,0.443564,1.025614,34.57605,0.002912,0.914798,0.100661,0.595361,0.494701,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_01,SCENE_01,Lawn,1,625,2,121,150,4.0,13,0.039777,0.225472,0.506493,37.569068,0.001326,0.991549,-0.331001,-0.202172,0.128829,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_01,SCENE_01,Lawn,1,625,3,301,330,10.0,10,0.033454,0.189466,0.524057,42.133268,0.001115,0.991968,-0.397407,-0.346877,0.05053,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_02,SCENE_01,Lawn,626,1453,1,1286,1315,42.8333,13,0.068566,0.452541,0.813937,36.850715,0.002286,0.944724,0.114725,0.561102,0.446377,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_02,SCENE_01,Lawn,626,1453,2,746,775,24.8333,12,0.042135,0.2449,0.648017,46.516379,0.001405,0.989796,-0.033944,0.153713,0.187657,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_02,SCENE_01,Lawn,626,1453,3,1376,1405,45.8333,4,0.140688,0.31494,1.499997,16.793592,0.00469,0.986842,1.152132,1.315693,0.163561,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_03,SCENE_02,Indoor,1454,2002,1,1754,1783,58.4333,11,0.054904,0.321367,0.838313,53.264346,0.00183,0.978814,0.110871,0.623067,0.512196,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_03,SCENE_02,Indoor,1454,2002,2,1544,1573,51.4333,8,0.023768,0.190169,0.421807,64.051997,0.000792,1.0,-0.36109,-0.294602,0.066487,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_04,SCENE_02,Indoor,2003,2687,1,2513,2542,83.7333,10,0.02416,0.248189,0.340605,60.047431,0.000805,0.991935,-0.003206,0.328467,0.331672,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_04,SCENE_02,Indoor,2003,2687,2,2123,2152,70.7333,9,0.023069,0.19874,0.388127,53.442723,0.000769,0.992337,-0.486356,-0.336854,0.149502,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_04,SCENE_02,Indoor,2003,2687,3,2603,2632,86.7333,9,0.106223,0.304735,1.16778,17.974354,0.003541,0.944444,0.666474,0.803596,0.137123,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_05,SCENE_02,Indoor,2688,3455,1,3138,3167,104.5667,8,0.043075,0.345517,0.55499,47.255692,0.001436,0.983871,0.154077,0.613283,0.459206,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_05,SCENE_02,Indoor,2688,3455,2,2928,2957,97.5667,11,0.043619,0.233925,0.653738,50.761872,0.001454,0.983333,-0.19026,-0.029418,0.160842,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_05,SCENE_02,Indoor,2688,3455,3,2748,2777,91.5667,9,0.03512,0.211697,0.565501,51.197583,0.001171,0.973684,-0.230289,-0.154626,0.075662,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_06,SCENE_02,Indoor,3456,4034,1,3876,3905,129.1667,8,0.018035,0.086301,0.264757,56.451307,0.000601,0.995745,-0.116932,0.347355,0.464286,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_06,SCENE_02,Indoor,3456,4034,2,3966,3995,132.1667,7,0.118138,0.366179,0.926555,15.220234,0.003938,0.962264,0.656121,0.964546,0.308424,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_06,SCENE_02,Indoor,3456,4034,3,3786,3815,126.1667,8,0.013528,0.044753,0.233899,66.804941,0.000451,0.995614,-0.484911,-0.323456,0.161456,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_07,SCENE_02,Indoor,4035,4929,1,4785,4814,159.4667,14,0.102911,0.405945,1.362729,28.508696,0.00343,0.891304,0.338658,0.747974,0.409316,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_07,SCENE_02,Indoor,4035,4929,2,4185,4214,139.4667,11,0.042195,0.21397,0.583264,52.838498,0.001406,0.969231,-0.436514,-0.193273,0.243241,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_07,SCENE_02,Indoor,4035,4929,3,4425,4454,147.4667,12,0.04225,0.444288,0.684843,53.707513,0.001408,0.967611,-0.031294,0.146094,0.177387,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_08,SCENE_02,Indoor,4930,5596,1,5380,5409,179.3,13,0.045721,0.209938,0.639596,47.079609,0.001524,0.984791,0.064107,0.575727,0.51162,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_08,SCENE_02,Indoor,4930,5596,2,5050,5079,168.3,10,0.035806,0.240241,0.453507,49.771228,0.001194,0.961957,-0.21121,-0.064802,0.146408,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_08,SCENE_02,Indoor,4930,5596,3,5290,5319,176.3,11,0.024381,0.151285,0.402347,51.455915,0.000813,0.996678,-0.496922,-0.460158,0.036763,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_09,SCENE_03,Outdoor_Plaza,5597,6254,1,6137,6166,204.5333,11,0.07881,0.283303,1.102587,46.170967,0.002627,0.934307,0.527172,0.868716,0.341544,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_09,SCENE_03,Outdoor_Plaza,5597,6254,2,5987,6016,199.5333,12,0.052273,0.377751,0.794965,40.800724,0.001742,0.981061,-0.238207,-0.058194,0.180013,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_09,SCENE_03,Outdoor_Plaza,5597,6254,3,5867,5896,195.5333,16,0.067519,0.301488,0.986729,38.341737,0.002251,0.951456,-0.369575,-0.228438,0.141137,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_10,SCENE_03,Outdoor_Plaza,6255,6931,1,6795,6824,226.4667,15,0.061634,0.380035,0.914583,40.824811,0.002054,0.948207,-0.1381,0.375636,0.513736,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_10,SCENE_03,Outdoor_Plaza,6255,6931,2,6375,6404,212.4667,13,0.056757,0.191344,0.753325,38.291692,0.001892,0.976562,-0.474739,-0.282527,0.192212,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_10,SCENE_03,Outdoor_Plaza,6255,6931,3,6495,6524,216.4667,15,0.060174,0.329745,0.878433,44.84118,0.002006,0.971875,-0.168522,-0.053219,0.115303,AUTOMATIC_CANDIDATE_ONLY,NO
SEQ_11,SCENE_03,Outdoor_Plaza,6932,7739,1,7622,7651,254.0333,15,0.060236,0.384451,0.809652,37.341041,0.002008,0.990937,-0.080091,0.450298,0.530389,AUTOMATIC_CANDIDATE_ONLY,NO
