candidate_id,frame_number,timestamp_sec,pixel_difference,histogram_difference,combined_score,nearest_major_scene_boundary,distance_from_major_boundary
BOUNDARY_CAND_001,505,16.8,0.018613,0.00072,0.013245,1454,949
BOUNDARY_CAND_002,526,17.5,0.029757,0.003641,0.021922,1454,928
BOUNDARY_CAND_003,546,18.1667,0.017963,0.001219,0.01294,1454,908
BOUNDARY_CAND_004,626,20.8333,0.049217,0.186823,0.090499,1454,828
BOUNDARY_CAND_005,1331,44.3333,0.02404,0.004443,0.018161,1454,123
BOUNDARY_CAND_006,1454,48.4333,0.260496,0.698192,0.391805,1454,0
BOUNDARY_CAND_007,1807,60.2,0.02461,0.031775,0.026759,1454,353
BOUNDARY_CAND_008,2003,66.7333,0.045522,0.09199,0.059463,1454,549
BOUNDARY_CAND_009,2606,86.8333,0.025292,0.028729,0.026324,1454,1152
BOUNDARY_CAND_010,2688,89.5667,0.025007,0.058749,0.035129,1454,1234
BOUNDARY_CAND_011,3220,107.3,0.021439,0.034817,0.025452,1454,1766
BOUNDARY_CAND_012,3287,109.5333,0.007389,0.01862,0.010758,1454,1833
BOUNDARY_CAND_013,3430,114.3,0.01932,0.024326,0.020822,1454,1976
BOUNDARY_CAND_014,3456,115.1667,0.031988,0.071544,0.043855,1454,2002
BOUNDARY_CAND_015,3939,131.2667,0.023554,0.038957,0.028175,5598,1659
BOUNDARY_CAND_016,4035,134.4667,0.025341,0.080221,0.041805,5598,1563
BOUNDARY_CAND_017,4808,160.2333,0.026516,0.02538,0.026175,5598,790
BOUNDARY_CAND_018,4930,164.3,0.071904,0.27243,0.132062,5598,668
BOUNDARY_CAND_019,5423,180.7333,0.02198,0.029467,0.024226,5598,175
BOUNDARY_CAND_020,5530,184.3,0.006801,0.025059,0.012278,5598,68
BOUNDARY_CAND_021,5597,186.5333,0.298151,1.320555,0.604872,5598,1
BOUNDARY_CAND_022,5620,187.3,0.009785,0.015369,0.01146,5598,22
BOUNDARY_CAND_023,5674,189.1,0.009378,0.01709,0.011692,5598,76
BOUNDARY_CAND_024,6150,204.9667,0.016395,0.000461,0.011615,5598,552
BOUNDARY_CAND_025,6170,205.6333,0.024306,0.000635,0.017205,5598,572
BOUNDARY_CAND_026,6196,206.5,0.02772,0.00328,0.020388,5598,598
BOUNDARY_CAND_027,6217,207.2,0.01918,0.112508,0.047178,5598,619
BOUNDARY_CAND_028,6255,208.4667,0.05503,0.213827,0.102669,5598,657
BOUNDARY_CAND_029,6284,209.4333,0.015397,0.078168,0.034229,5598,686
BOUNDARY_CAND_030,6330,210.9667,0.02082,0.10343,0.045603,5598,732
BOUNDARY_CAND_031,6555,218.4667,0.013104,0.012016,0.012778,5598,957
BOUNDARY_CAND_032,6584,219.4333,0.011797,0.022737,0.015079,5598,986
BOUNDARY_CAND_033,6631,221.0,0.015178,0.046745,0.024648,5598,1033
BOUNDARY_CAND_034,6768,225.5667,0.014398,0.042283,0.022764,5598,1170
BOUNDARY_CAND_035,6832,227.7,0.01732,0.00183,0.012673,5598,1234
BOUNDARY_CAND_036,6852,228.3667,0.038906,0.153062,0.073153,5598,1254
BOUNDARY_CAND_037,6872,229.0333,0.026117,0.062653,0.037077,5598,1274
BOUNDARY_CAND_038,6932,231.0333,0.06777,0.10274,0.078261,5598,1334
BOUNDARY_CAND_039,7677,255.8667,0.015921,0.001068,0.011465,5598,2079
BOUNDARY_CAND_040,7701,256.6667,0.017186,0.005258,0.013608,5598,2103
