video_name,video_id,window_index,window_start_sec,window_end_sec,zone_id,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,zone_presence_ratio,avg_bbox_area_ratio,total_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_norm,avg_speed_px_s,avg_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,movement_activity
download.mp4,VIDEO_001,0,0.0,2.0,ZONE_A,3,1.1667,2,1.0,0.00228828,0.01601797,0.345842,4,0.00235047,155.3358,0.070514,0.00896012,0.13510743,0.28414864,13.6176,196.1211,0.979792,0.571429
download.mp4,VIDEO_001,0,0.0,2.0,ZONE_B,10,1.5238,3,1.0,0.00217779,0.13937887,0.27917,55,0.00197593,130.5836,0.05927786,0.03444454,0.06515981,0.86457496,14.5067,230.9133,0.870913,0.859375
download.mp4,VIDEO_001,0,0.0,2.0,ZONE_C,26,5.6333,8,1.0,0.00353603,1.19517853,0.37372,302,0.00313984,207.5034,0.09419526,0.05456248,0.08405945,1.58277106,17.7062,213.9851,0.86381,0.893491
download.mp4,VIDEO_001,1,2.0,4.0,ZONE_A,4,1.375,2,1.0,0.00198121,0.0217933,0.332786,7,0.00107347,70.9426,0.03220406,0.02694548,-0.06637796,0.82930439,16.6429,218.4413,0.849786,0.636364
download.mp4,VIDEO_001,1,2.0,4.0,ZONE_B,11,1.75,4,1.0,0.0023964,0.21807254,0.332267,81,0.0017904,118.3224,0.05371195,0.0432664,0.08460841,1.23662541,22.5709,272.7483,0.708043,0.89011
download.mp4,VIDEO_001,1,2.0,4.0,ZONE_C,30,5.8,9,1.0,0.00294889,1.02621338,0.408722,313,0.00299489,197.9236,0.08984657,0.06429484,0.02034733,1.57638884,20.6607,206.9688,0.711919,0.899425
download.mp4,VIDEO_001,2,4.0,6.0,ZONE_A,5,1.1111,3,1.0,0.00227158,0.06814739,0.334603,23,0.00275956,182.3717,0.08278685,0.03575771,-0.01900949,1.07501134,10.9338,330.5299,0.933208,0.766667
download.mp4,VIDEO_001,2,4.0,6.0,ZONE_B,18,1.9804,4,1.0,0.00216677,0.21884376,0.380929,82,0.0023196,153.296,0.06958806,0.04535042,0.09528939,1.22557972,28.9001,222.5024,0.629547,0.811881
download.mp4,VIDEO_001,2,4.0,6.0,ZONE_C,43,6.6,11,1.0,0.00320128,1.26770499,0.419095,335,0.00253121,167.2808,0.07593636,0.07836541,0.05600666,1.56311803,35.6955,199.4197,0.264535,0.84596
download.mp4,VIDEO_001,3,6.0,8.0,ZONE_A,4,1.2258,2,1.0,0.00255608,0.09713086,0.411301,33,0.00200929,132.7883,0.06027867,0.04656952,0.27636807,1.14115657,21.2312,201.2504,0.73584,0.868421
